CustomerID,CustomerNumber,FirstName,LastName,FullName,Gender,DateOfBirth,Email,PhoneNumber,AddressLine1,AddressLine2,City,StateProvince,PostalCode,Country,CustomerSegment,CustomerCategory,RegistrationDate,PreferredLanguage,PreferredCurrency,LoyaltyProgramID,LoyaltyPoints,MarketingOptIn,EmailOptIn,SMSOptIn,CustomerStatus
15001,CUST015001,Robert,Jones,Robert Jones,Male,19-05-1987,robert.jones15001@example.com,-5134414,812 Main St,,Mumbai,CA,21023,Germany,Corporate,Platinum,02-08-2021,German,INR,LP7670,9475,TRUE,FALSE,FALSE,Active
15002,CUST015002,Robert,Johnson,Robert Johnson,Male,04-01-1981,robert.johnson15002@example.com,-4637269,341 Main St,,New York,BE,92909,China,Online,Standard,24-12-2020,English,INR,LP8223,5091,TRUE,TRUE,TRUE,Active
15003,CUST015003,Mary,Brown,Mary Brown,Female,18-02-1990,mary.brown15003@example.com,-7426032,562 Main St,,Mumbai,IL,21959,India,Corporate,Standard,03-03-2020,Chinese,CNY,LP8425,1242,FALSE,FALSE,TRUE,Inactive
15004,CUST015004,Richard,Miller,Richard Miller,Male,06-01-1992,richard.miller15004@example.com,-2449642,866 Main St,,San Francisco,WA,15212,UK,Retail,Silver,17-08-2022,Chinese,CNY,LP9957,7437,FALSE,TRUE,FALSE,Inactive
15005,CUST015005,Patricia,Garcia,Patricia Garcia,Male,02-09-1974,patricia.garcia15005@example.com,-1085957,346 Main St,,Chicago,SH,32015,USA,Wholesale,Gold,01-04-2019,Hindi,EUR,LP2272,391,TRUE,FALSE,TRUE,Inactive
15006,CUST015006,John,Johnson,John Johnson,Female,02-08-1996,john.johnson15006@example.com,-9868712,696 Main St,,Pune,IL,52276,India,Corporate,Silver,03-06-2019,Chinese,CNY,LP5269,6292,FALSE,TRUE,TRUE,Active
15007,CUST015007,Elizabeth,Brown,Elizabeth Brown,Male,23-10-1996,elizabeth.brown15007@example.com,-2259253,818 Main St,,Berlin,WA,95816,Vietnam,Online,Standard,25-08-2018,Hindi,USD,LP3719,9039,TRUE,FALSE,FALSE,Inactive
15008,CUST015008,Patricia,Williams,Patricia Williams,Female,24-05-1983,patricia.williams15008@example.com,-5499497,617 Main St,,Mumbai,NY,27832,Germany,Online,Platinum,30-10-2024,Chinese,INR,LP6225,1611,TRUE,FALSE,TRUE,Inactive
15009,CUST015009,Thomas,Garcia,Thomas Garcia,Male,29-07-1964,thomas.garcia15009@example.com,-7653551,87 Main St,,Berlin,BE,22604,India,Wholesale,Gold,16-10-2021,German,CNY,LP6254,5705,FALSE,FALSE,TRUE,Active
15010,CUST015010,Mary,Brown,Mary Brown,Male,22-03-1980,mary.brown15010@example.com,-6195036,829 Main St,,Pune,NY,16153,USA,Corporate,Standard,27-03-2022,Hindi,EUR,LP5770,4195,TRUE,TRUE,FALSE,Active
15011,CUST015011,Jennifer,Smith,Jennifer Smith,Male,14-04-1961,jennifer.smith15011@example.com,-9600607,518 Main St,,Pune,KA,84337,Vietnam,Wholesale,Gold,10-01-2018,English,INR,LP6136,87,FALSE,FALSE,TRUE,Active
15012,CUST015012,Michael,Rodriguez,Michael Rodriguez,Female,04-05-2008,michael.rodriguez15012@example.com,-1521927,103 Main St,,Berlin,SH,17577,China,Wholesale,Standard,17-03-2021,Chinese,USD,LP8079,3901,FALSE,FALSE,TRUE,Active
15013,CUST015013,Karen,Miller,Karen Miller,Male,26-06-1995,karen.miller15013@example.com,-8170088,708 Main St,,Hanoi,CA,58120,China,Retail,Silver,12-07-2024,German,EUR,LP1448,7982,FALSE,FALSE,FALSE,Inactive
15014,CUST015014,Barbara,Rodriguez,Barbara Rodriguez,Female,02-07-2004,barbara.rodriguez15014@example.com,-5585876,793 Main St,,San Francisco,NY,59390,USA,Corporate,Platinum,27-08-2022,Chinese,INR,LP7262,8745,FALSE,TRUE,TRUE,Inactive
15015,CUST015015,Mary,Smith,Mary Smith,Male,22-01-2000,mary.smith15015@example.com,-8678496,710 Main St,,Chicago,SH,64859,China,Online,Platinum,27-01-2024,German,EUR,LP2053,1800,TRUE,FALSE,FALSE,Active
15016,CUST015016,Mary,Garcia,Mary Garcia,Male,17-08-1962,mary.garcia15016@example.com,-1537327,605 Main St,,New York,CA,73357,USA,Wholesale,Platinum,22-12-2020,Chinese,EUR,LP3019,2982,FALSE,FALSE,FALSE,Active
15017,CUST015017,Michael,Williams,Michael Williams,Male,06-11-1974,michael.williams15017@example.com,-8329493,60 Main St,,Chicago,HN,45820,India,Corporate,Standard,20-05-2024,Hindi,CNY,LP6028,8454,FALSE,FALSE,TRUE,Inactive
15018,CUST015018,David,Williams,David Williams,Male,05-05-2004,david.williams15018@example.com,-9874186,494 Main St,,London,SH,97380,Germany,Wholesale,Platinum,07-02-2020,Hindi,USD,LP7414,2920,FALSE,FALSE,FALSE,Active
15019,CUST015019,Mary,Martinez,Mary Martinez,Male,13-10-1970,mary.martinez15019@example.com,-8168216,706 Main St,,San Francisco,CA,51697,USA,Retail,Platinum,28-07-2022,Chinese,CNY,LP5858,4659,TRUE,TRUE,TRUE,Inactive
15020,CUST015020,Linda,Jones,Linda Jones,Male,03-03-2005,linda.jones15020@example.com,-4564621,972 Main St,,Chicago,MH,91692,India,Corporate,Silver,02-08-2023,German,EUR,LP1732,5312,TRUE,FALSE,FALSE,Inactive
15021,CUST015021,Barbara,Martinez,Barbara Martinez,Female,24-02-1984,barbara.martinez15021@example.com,-3459841,985 Main St,,New York,NY,20070,India,Retail,Standard,16-06-2024,German,USD,LP7617,642,TRUE,TRUE,TRUE,Inactive
15022,CUST015022,Linda,Rodriguez,Linda Rodriguez,Female,19-07-1977,linda.rodriguez15022@example.com,-2943295,797 Main St,,San Francisco,CA,92396,China,Corporate,Gold,12-12-2019,English,USD,LP6110,9921,FALSE,FALSE,TRUE,Active
15023,CUST015023,David,Johnson,David Johnson,Male,31-03-2014,david.johnson15023@example.com,-1157323,745 Main St,,Shanghai,SH,69932,India,Corporate,Gold,12-03-2020,German,INR,LP5425,8542,TRUE,FALSE,TRUE,Active
15024,CUST015024,Elizabeth,Jones,Elizabeth Jones,Male,18-11-1980,elizabeth.jones15024@example.com,-6524865,35 Main St,,Berlin,KA,73610,UK,Corporate,Gold,03-08-2021,German,EUR,LP7709,4037,FALSE,FALSE,FALSE,Active
